step,episode,episode_reward,env,seed,agent
4288000,4288,881.0414230601165,cartpole_swingup,8,DrQ
4304000,4304,880.9239110172173,cartpole_swingup,8,DrQ
4320000,4320,880.7320358623954,cartpole_swingup,8,DrQ
4336000,4336,881.1000426794759,cartpole_swingup,8,DrQ
4352000,4352,880.8116012203508,cartpole_swingup,8,DrQ
4368000,4368,880.8678177242277,cartpole_swingup,8,DrQ
4384000,4384,879.8200353770059,cartpole_swingup,8,DrQ
4400000,4400,880.9990716579329,cartpole_swingup,8,DrQ
4416000,4416,880.1426420730234,cartpole_swingup,8,DrQ
4432000,4432,880.6641744674182,cartpole_swingup,8,DrQ
4448000,4448,881.0912371158432,cartpole_swingup,8,DrQ
4464000,4464,881.3222836818004,cartpole_swingup,8,DrQ
4480000,4480,881.6270321692494,cartpole_swingup,8,DrQ
4496000,4496,881.6093250052305,cartpole_swingup,8,DrQ
4512000,4512,881.6006006339253,cartpole_swingup,8,DrQ
4528000,4528,881.3103535246119,cartpole_swingup,8,DrQ
4544000,4544,881.3906179745361,cartpole_swingup,8,DrQ
4560000,4560,881.4656652541489,cartpole_swingup,8,DrQ
4576000,4576,881.3259716838735,cartpole_swingup,8,DrQ
4592000,4592,881.387792200371,cartpole_swingup,8,DrQ
4608000,4608,881.3621544668498,cartpole_swingup,8,DrQ
4624000,4624,881.2584262593256,cartpole_swingup,8,DrQ
4640000,4640,881.456645740094,cartpole_swingup,8,DrQ
4656000,4656,880.2409381430391,cartpole_swingup,8,DrQ
4672000,4672,880.9039810560538,cartpole_swingup,8,DrQ
0,0,0.0,ball_in_cup_catch,9,DrQ
8000,8,99.6,ball_in_cup_catch,9,DrQ
16000,16,297.7,ball_in_cup_catch,9,DrQ
24000,24,0.0,ball_in_cup_catch,9,DrQ
32000,32,0.0,ball_in_cup_catch,9,DrQ
40000,40,0.0,ball_in_cup_catch,9,DrQ
48000,48,279.4,ball_in_cup_catch,9,DrQ
56000,56,477.4,ball_in_cup_catch,9,DrQ
64000,64,365.1,ball_in_cup_catch,9,DrQ
72000,72,798.6,ball_in_cup_catch,9,DrQ
80000,80,778.0,ball_in_cup_catch,9,DrQ
88000,88,907.2,ball_in_cup_catch,9,DrQ
96000,96,940.0,ball_in_cup_catch,9,DrQ
104000,104,891.2,ball_in_cup_catch,9,DrQ
112000,112,895.9,ball_in_cup_catch,9,DrQ
120000,120,887.3,ball_in_cup_catch,9,DrQ
128000,128,916.7,ball_in_cup_catch,9,DrQ
136000,136,950.6,ball_in_cup_catch,9,DrQ
144000,144,953.0,ball_in_cup_catch,9,DrQ
152000,152,955.8,ball_in_cup_catch,9,DrQ
160000,160,941.8,ball_in_cup_catch,9,DrQ
168000,168,954.6,ball_in_cup_catch,9,DrQ
176000,176,942.3,ball_in_cup_catch,9,DrQ
184000,184,956.7,ball_in_cup_catch,9,DrQ
192000,192,958.4,ball_in_cup_catch,9,DrQ
200000,200,964.9,ball_in_cup_catch,9,DrQ
208000,208,957.3,ball_in_cup_catch,9,DrQ
216000,216,950.3,ball_in_cup_catch,9,DrQ
224000,224,965.5,ball_in_cup_catch,9,DrQ
232000,232,946.6,ball_in_cup_catch,9,DrQ
240000,240,958.6,ball_in_cup_catch,9,DrQ
248000,248,963.1,ball_in_cup_catch,9,DrQ
256000,256,960.0,ball_in_cup_catch,9,DrQ
264000,264,955.1,ball_in_cup_catch,9,DrQ
272000,272,963.7,ball_in_cup_catch,9,DrQ
280000,280,965.6,ball_in_cup_catch,9,DrQ
288000,288,971.7,ball_in_cup_catch,9,DrQ
296000,296,964.9,ball_in_cup_catch,9,DrQ
304000,304,967.3,ball_in_cup_catch,9,DrQ
312000,312,967.0,ball_in_cup_catch,9,DrQ
320000,320,966.2,ball_in_cup_catch,9,DrQ
328000,328,958.7,ball_in_cup_catch,9,DrQ
336000,336,972.8,ball_in_cup_catch,9,DrQ
344000,344,966.7,ball_in_cup_catch,9,DrQ
352000,352,955.6,ball_in_cup_catch,9,DrQ
360000,360,967.6,ball_in_cup_catch,9,DrQ
368000,368,967.0,ball_in_cup_catch,9,DrQ
376000,376,968.6,ball_in_cup_catch,9,DrQ
